comment_text,toxic
This is a safe comment number 247,0
This is a safe comment number 869,0
This is a toxic comment number 700,1
unggoy,1
This is a toxic comment number 314,1
This is a toxic comment number 1500,1
This is a safe comment number 459,0
This is a safe comment number 1823,0
You are amazing!!!,0
This is a safe comment number 1181,0
This is a toxic comment number 28,1
YOU'RE TRASH,1
This is a toxic comment number 1922,1
This is a safe comment number 889,0
This is a safe comment number 1417,0
This is a toxic comment number 1796,1
This is a safe comment number 677,0
This is a toxic comment number 48,1
This is a safe comment number 1745,0
This is a safe comment number 1379,0
This is a safe comment number 909,0
bobo ka!!!,1
This is a toxic comment number 1556,1
UGLY PIG,1
This is a safe comment number 535,0
This is a toxic comment number 254,1
This is a toxic comment number 1202,1
This is a toxic comment number 1760,1
"Hey, Keep going, you’re doing well",0
This is a toxic comment number 1036,1
This is a safe comment number 1241,0
Disgusting animal 😡,1
This is a toxic comment number 140,1
This is a toxic comment number 1712,1
bwisit ka 😡,1
This is a safe comment number 3,0
This is a safe comment number 1191,0
This is a safe comment number 769,0
This is a toxic comment number 1986,1
This is a toxic comment number 1312,1
This is a safe comment number 1871,0
This is a safe comment number 157,0
This is a toxic comment number 1664,1
This is a safe comment number 753,0
Go die!!!,1
This is a toxic comment number 1470,1
This is a safe comment number 1877,0
This is a safe comment number 1613,0
This is a safe comment number 881,0
This is a safe comment number 1233,0
This is a safe comment number 707,0
This is a safe comment number 519,0
Well done 😊,0
This is a toxic comment number 1998,1
This is a toxic comment number 886,1
This is a toxic comment number 762,1
This is a toxic comment number 944,1
This is a safe comment number 1329,0
This is a toxic comment number 1274,1
This is a safe comment number 1103,0
This is a safe comment number 1559,0
This is a toxic comment number 596,1
"Hey, Love wins",0
This is a toxic comment number 1672,1
This is a safe comment number 489,0
This is a safe comment number 1509,0
freak 😡,1
This is a safe comment number 461,0
This is a toxic comment number 1278,1
This is a toxic comment number 1040,1
This is a toxic comment number 1966,1
This is a toxic comment number 1456,1
mahal kita,0
This is a safe comment number 1055,0
This is a toxic comment number 1160,1
This is a safe comment number 1523,0
This is a safe comment number 495,0
This is a safe comment number 1669,0
This is a toxic comment number 1930,1
This is a safe comment number 1409,0
"Keep going, you’re doing well 😊",0
This is a toxic comment number 248,1
This is a toxic comment number 950,1
This is a toxic comment number 1300,1
This is a safe comment number 1915,0
This is a toxic comment number 652,1
"Hoy, ang galing mo",0
This is a toxic comment number 426,1
This is a toxic comment number 920,1
This is a toxic comment number 1344,1
ulol!!!,1
putangina mo 😂,1
This is a toxic comment number 966,1
This is a toxic comment number 1280,1
Retard!,1
This is a toxic comment number 1826,1
This is a toxic comment number 1872,1
This is a safe comment number 483,0
This is a safe comment number 453,0
This is a toxic comment number 778,1
This is a toxic comment number 1984,1
This is a toxic comment number 440,1
"Hey, You are amazing",0
Dumb idiot,1
This is a toxic comment number 256,1
This is a safe comment number 1753,0
This is a safe comment number 783,0
This is a toxic comment number 766,1
This is a safe comment number 61,0
pangit ka!!!,1
This is a toxic comment number 1748,1
This is a toxic comment number 646,1
This is a safe comment number 1033,0
This is a safe comment number 1869,0
This is a toxic comment number 1460,1
YOU SUCK,1
This is a safe comment number 1887,0
This is a safe comment number 561,0
This is a safe comment number 267,0
nobody likes you,1
This is a toxic comment number 570,1
This is a safe comment number 1427,0
This is a safe comment number 957,0
This is a safe comment number 1119,0
This is a toxic comment number 1084,1
This is a safe comment number 259,0
This is a toxic comment number 1644,1
This is a toxic comment number 1072,1
"Hoy, mahal kita",0
This is a safe comment number 189,0
This is a toxic comment number 996,1
This is a safe comment number 1431,0
This is a toxic comment number 1788,1
This is a toxic comment number 1366,1
This is a safe comment number 697,0
This is a safe comment number 993,0
Nobody likes you,1
This is a toxic comment number 1568,1
This is a safe comment number 733,0
This is a safe comment number 1717,0
This is a toxic comment number 786,1
AMPALAYA,1
This is a safe comment number 891,0
freak,1
"Hey, Stay positive",0
This is a toxic comment number 378,1
This is a toxic comment number 1094,1
This is a safe comment number 821,0
GOOD JOB,0
This is a safe comment number 831,0
This is a safe comment number 1275,0
This is a toxic comment number 186,1
This is a safe comment number 1943,0
This is a toxic comment number 1216,1
This is a safe comment number 1723,0
Nobody likes you!,1
This is a toxic comment number 372,1
This is a safe comment number 1621,0
This is a toxic comment number 1086,1
This is a safe comment number 613,0
This is a safe comment number 1721,0
This is a toxic comment number 26,1
This is a safe comment number 217,0
This is a safe comment number 357,0
This is a safe comment number 671,0
This is a safe comment number 1999,0
This is a safe comment number 1549,0
This is a safe comment number 1535,0
This is a toxic comment number 580,1
This is a safe comment number 1751,0
TARANTADO,1
This is a safe comment number 513,0
This is a toxic comment number 508,1
This is a safe comment number 1757,0
This is a toxic comment number 1440,1
mabuhay ka 😂,0
This is a toxic comment number 1768,1
This is a safe comment number 931,0
This is a safe comment number 1891,0
ampalaya 😡,1
PAGPALAIN KA,0
MAHAL KITA,0
This is a toxic comment number 36,1
This is a safe comment number 1089,0
This is a toxic comment number 584,1
This is a safe comment number 1243,0
This is a safe comment number 1807,0
This is a toxic comment number 154,1
This is a safe comment number 1097,0
This is a safe comment number 1683,0
This is a toxic comment number 524,1
This is a safe comment number 543,0
This is a safe comment number 1813,0
This is a safe comment number 1255,0
This is a safe comment number 1661,0
maraming salamat!!!,0
This is a toxic comment number 572,1
This is a safe comment number 1227,0
This is a toxic comment number 1056,1
This is a safe comment number 1385,0
This is a toxic comment number 1360,1
This is a safe comment number 341,0
Good job,0
This is a safe comment number 327,0
This is a safe comment number 1733,0
This is a safe comment number 615,0
This is a toxic comment number 1940,1
This is a toxic comment number 1458,1
This is a toxic comment number 1476,1
good job,0
This is a safe comment number 1483,0
This is a toxic comment number 1636,1
This is a safe comment number 641,0
This is a safe comment number 1735,0
This is a safe comment number 179,0
"Hey, Have a nice day",0
You are kind 😂,0
bwisit ka 😂,1
This is a toxic comment number 520,1
You are stupid 😡,1
This is a safe comment number 265,0
Moron!,1
This is a safe comment number 977,0
This is a toxic comment number 1080,1
This is a safe comment number 517,0
This is a toxic comment number 1614,1
This is a toxic comment number 1638,1
This is a toxic comment number 964,1
DUMBASS,1
"Hoy, sira ulo",1
This is a toxic comment number 1282,1
This is a toxic comment number 298,1
worthless,1
This is a safe comment number 1111,0
This is a safe comment number 1279,0
This is a toxic comment number 758,1
This is a toxic comment number 20,1
This is a toxic comment number 1222,1
dumb idiot,1
This is a safe comment number 1331,0
This is a safe comment number 1861,0
Worthless 😡,1
ang galing mo 😂,0
This is a toxic comment number 428,1
This is a toxic comment number 1452,1
This is a safe comment number 1553,0
This is a toxic comment number 1508,1
This is a toxic comment number 716,1
This is a safe comment number 1975,0
This is a safe comment number 987,0
This is a safe comment number 945,0
Lazy fool,1
retard 😂,1
This is a toxic comment number 1602,1
This is a safe comment number 1285,0
This is a toxic comment number 1054,1
This is a safe comment number 1787,0
This is a toxic comment number 1696,1
This is a toxic comment number 748,1
This is a safe comment number 1767,0
This is a safe comment number 949,0
This is a safe comment number 1615,0
This is a safe comment number 749,0
This is a safe comment number 1499,0
This is a safe comment number 1453,0
"Hoy, gago",1
This is a safe comment number 1163,0
This is a toxic comment number 852,1
This is a safe comment number 793,0
This is a toxic comment number 1260,1
ugly pig,1
This is a toxic comment number 1560,1
abnormal!,1
This is a safe comment number 293,0
This is a safe comment number 1597,0
This is a toxic comment number 1082,1
This is a safe comment number 1647,0
malakas ka 😊,0
This is a toxic comment number 352,1
This is a safe comment number 885,0
This is a safe comment number 1709,0
This is a safe comment number 1741,0
This is a safe comment number 1933,0
This is a toxic comment number 1234,1
This is a safe comment number 1131,0
This is a toxic comment number 1362,1
This is a safe comment number 1021,0
This is a toxic comment number 1758,1
This is a safe comment number 681,0
This is a toxic comment number 156,1
Kill yourself 😡,1
This is a toxic comment number 1744,1
This is a safe comment number 1383,0
This is a toxic comment number 618,1
This is a toxic comment number 1516,1
This is a toxic comment number 1766,1
This is a toxic comment number 130,1
freak!,1
This is a toxic comment number 940,1
This is a safe comment number 79,0
This is a safe comment number 723,0
This is a toxic comment number 1416,1
This is a toxic comment number 1938,1
This is a safe comment number 1701,0
This is a toxic comment number 492,1
sira ulo 😡,1
This is a toxic comment number 222,1
This is a toxic comment number 1528,1
This is a safe comment number 1691,0
This is a safe comment number 1759,0
This is a safe comment number 1737,0
This is a safe comment number 1857,0
This is a safe comment number 721,0
This is a toxic comment number 1376,1
This is a toxic comment number 432,1
This is a safe comment number 665,0
buti pa ikaw!!!,0
This is a toxic comment number 1320,1
mahal kita 😊,0
ingat ka palagi,0
This is a safe comment number 1135,0
This is a toxic comment number 1798,1
This is a toxic comment number 568,1
This is a toxic comment number 88,1
This is a toxic comment number 696,1
This is a safe comment number 1049,0
This is a toxic comment number 1780,1
This is a toxic comment number 728,1
This is a toxic comment number 1384,1
This is a toxic comment number 806,1
This is a safe comment number 531,0
This is a toxic comment number 1308,1
This is a toxic comment number 458,1
This is a safe comment number 127,0
This is a toxic comment number 1166,1
ASTIG KA PRE,0
This is a toxic comment number 1876,1
bakla,1
This is a toxic comment number 1246,1
Moron 😂,1
This is a safe comment number 469,0
This is a toxic comment number 1136,1
"keep going, you’re doing well",0
Great work,0
"Hoy, astig ka pre",0
This is a safe comment number 693,0
This is a toxic comment number 72,1
This is a safe comment number 409,0
This is a safe comment number 1503,0
This is a safe comment number 877,0
This is a toxic comment number 1694,1
This is a safe comment number 1003,0
This is a toxic comment number 1982,1
This is a toxic comment number 1808,1
This is a toxic comment number 1674,1
I hate you 😂,1
UGOK,1
This is a toxic comment number 106,1
This is a toxic comment number 1538,1
This is a toxic comment number 1464,1
This is a safe comment number 1771,0
sobrang bait mo!!!,0
This is a toxic comment number 732,1
This is a safe comment number 747,0
This is a safe comment number 837,0
This is a safe comment number 887,0
This is a safe comment number 1763,0
abnormal!!!,1
This is a toxic comment number 1140,1
This is a toxic comment number 1408,1
This is a safe comment number 1937,0
This is a toxic comment number 638,1
This is a toxic comment number 340,1
This is a toxic comment number 736,1
This is a safe comment number 819,0
This is a safe comment number 81,0
This is a toxic comment number 1880,1
ugok 😡,1
This is a toxic comment number 24,1
This is a toxic comment number 490,1
"Hey, You suck",1
Lazy fool 😡,1
This is a toxic comment number 354,1
This is a safe comment number 631,0
This is a safe comment number 75,0
This is a toxic comment number 470,1
This is a safe comment number 801,0
MORON,1
This is a toxic comment number 896,1
This is a toxic comment number 1114,1
This is a toxic comment number 506,1
This is a toxic comment number 1916,1
LAZY FOOL,1
This is a toxic comment number 114,1
This is a safe comment number 29,0
You are stupid 😂,1
This is a safe comment number 173,0
This is a safe comment number 655,0
This is a safe comment number 1087,0
This is a toxic comment number 602,1
This is a safe comment number 907,0
This is a toxic comment number 398,1
This is a toxic comment number 1382,1
This is a safe comment number 1525,0
This is a safe comment number 1895,0
This is a toxic comment number 1812,1
This is a safe comment number 955,0
This is a toxic comment number 1482,1
STAY POSITIVE,0
mahal kita!!!,0
i appreciate your effort,0
tanga!!!,1
This is a toxic comment number 878,1
This is a toxic comment number 100,1
This is a toxic comment number 1208,1
This is a safe comment number 1983,0
swerte mo!!!,0
YOU ARE AMAZING,0
This is a toxic comment number 208,1
retard,1
This is a safe comment number 1397,0
This is a toxic comment number 990,1
This is a safe comment number 1355,0
This is a toxic comment number 1566,1
This is a toxic comment number 1792,1
This is a toxic comment number 1032,1
This is a safe comment number 807,0
This is a toxic comment number 1016,1
This is a toxic comment number 674,1
You are kind,0
This is a toxic comment number 1486,1
This is a toxic comment number 64,1
This is a toxic comment number 528,1
This is a toxic comment number 344,1
This is a toxic comment number 810,1
This is a toxic comment number 1848,1
This is a safe comment number 1261,0
Congrats on your success 😊,0
tanga 😡,1
This is a toxic comment number 1862,1
This is a toxic comment number 396,1
This is a safe comment number 1489,0
MABUHAY KA,0
This is a toxic comment number 1886,1
This is a safe comment number 375,0
This is a safe comment number 203,0
This is a safe comment number 785,0
This is a safe comment number 153,0
tarantado,1
This is a toxic comment number 574,1
This is a safe comment number 1883,0
This is a safe comment number 1991,0
This is a safe comment number 1959,0
This is a toxic comment number 1504,1
This is a toxic comment number 1620,1
This is a safe comment number 1011,0
This is a toxic comment number 356,1
walang kwenta!!!,1
bwisit ka,1
This is a safe comment number 1253,0
panalo ka!,0
This is a toxic comment number 238,1
This is a toxic comment number 464,1
This is a toxic comment number 882,1
This is a toxic comment number 1364,1
This is a safe comment number 1467,0
This is a toxic comment number 544,1
This is a toxic comment number 932,1
This is a toxic comment number 494,1
This is a safe comment number 421,0
This is a toxic comment number 1730,1
This is a toxic comment number 558,1
This is a toxic comment number 1154,1
Dumb idiot 😂,1
congrats on your success,0
pagpalain ka,0
This is a toxic comment number 1912,1
wala kang silbi!!!,1
This is a safe comment number 653,0
This is a safe comment number 93,0
This is a toxic comment number 1498,1
This is a safe comment number 1993,0
This is a toxic comment number 858,1
ulol!,1
Stay positive!!!,0
This is a safe comment number 1873,0
This is a safe comment number 1067,0
This is a toxic comment number 1402,1
This is a safe comment number 1761,0
This is a safe comment number 119,0
This is a safe comment number 1551,0
HAVE A NICE DAY,0
This is a toxic comment number 282,1
WORTHLESS,1
This is a safe comment number 585,0
Stay positive,0
This is a safe comment number 937,0
This is a safe comment number 925,0
This is a safe comment number 1295,0
This is a toxic comment number 794,1
This is a safe comment number 1211,0
This is a safe comment number 235,0
This is a safe comment number 407,0
Disgusting animal 😂,1
This is a toxic comment number 818,1
This is a toxic comment number 1318,1
Thank you very much!,0
mahal kita,0
This is a toxic comment number 1210,1
This is a toxic comment number 40,1
This is a toxic comment number 1156,1
This is a safe comment number 775,0
This is a toxic comment number 1298,1
This is a safe comment number 929,0
This is a toxic comment number 0,1
This is a toxic comment number 550,1
This is a safe comment number 415,0
abnormal,1
This is a safe comment number 1425,0
This is a safe comment number 1521,0
This is a safe comment number 1693,0
This is a safe comment number 689,0
This is a toxic comment number 146,1
This is a safe comment number 1645,0
This is a toxic comment number 1316,1
This is a safe comment number 49,0
This is a safe comment number 17,0
This is a safe comment number 1671,0
This is a safe comment number 1153,0
This is a safe comment number 695,0
This is a toxic comment number 1656,1
Good job!,0
This is a toxic comment number 974,1
This is a toxic comment number 1110,1
This is a toxic comment number 1726,1
ampalaya,1
gago 😡,1
This is a toxic comment number 1800,1
This is a toxic comment number 1200,1
"Hey, dumbass",1
This is a toxic comment number 750,1
This is a toxic comment number 972,1
BWISIT KA,1
"Hey, You are kind",0
This is a safe comment number 1879,0
This is a safe comment number 279,0
This is a toxic comment number 1562,1
This is a safe comment number 87,0
This is a toxic comment number 236,1
This is a toxic comment number 530,1
This is a toxic comment number 546,1
This is a toxic comment number 1714,1
This is a safe comment number 245,0
This is a safe comment number 107,0
This is a safe comment number 1605,0
This is a safe comment number 1587,0
GO DIE,1
This is a safe comment number 1001,0
This is a toxic comment number 830,1
you are amazing,0
This is a toxic comment number 1968,1
KILL YOURSELF,1
This is a safe comment number 147,0
This is a safe comment number 1995,0
Worthless,1
This is a toxic comment number 1980,1
"Hoy, salot ka",1
dumbass!!!,1
BEST WISHES,0
This is a toxic comment number 860,1
This is a toxic comment number 74,1
This is a safe comment number 779,0
This is a safe comment number 257,0
This is a safe comment number 383,0
This is a toxic comment number 406,1
This is a safe comment number 787,0
This is a toxic comment number 418,1
This is a toxic comment number 756,1
This is a safe comment number 1505,0
This is a safe comment number 355,0
This is a safe comment number 295,0
This is a toxic comment number 936,1
This is a toxic comment number 1102,1
This is a toxic comment number 714,1
This is a safe comment number 209,0
mabuhay ka 😊,0
This is a safe comment number 1145,0
This is a safe comment number 463,0
This is a toxic comment number 1418,1
gago,1
This is a toxic comment number 1830,1
This is a toxic comment number 82,1
YOU ARE KIND,0
This is a safe comment number 1223,0
This is a toxic comment number 1396,1
This is a safe comment number 27,0
This is a toxic comment number 516,1
BAKLA,1
This is a safe comment number 1905,0
This is a toxic comment number 1804,1
This is a safe comment number 121,0
This is a safe comment number 639,0
This is a toxic comment number 1198,1
This is a toxic comment number 206,1
This is a toxic comment number 1394,1
idol kita,0
This is a toxic comment number 1864,1
Shut up loser,1
MARAMING SALAMAT,0
This is a safe comment number 667,0
Stay positive!,0
bobo ka 😂,1
This is a toxic comment number 518,1
PUTANGINA MO,1
This is a safe comment number 1325,0
This is a toxic comment number 1268,1
This is a toxic comment number 1304,1
Lazy fool!!!,1
This is a toxic comment number 522,1
This is a safe comment number 1161,0
This is a toxic comment number 1610,1
This is a safe comment number 289,0
This is a toxic comment number 1608,1
This is a toxic comment number 1882,1
This is a safe comment number 1867,0
This is a toxic comment number 4,1
This is a safe comment number 1283,0
tanga 😂,1
This is a toxic comment number 60,1
This is a toxic comment number 1626,1
This is a safe comment number 715,0
This is a safe comment number 1365,0
Moron!!!,1
This is a toxic comment number 1958,1
This is a safe comment number 219,0
This is a safe comment number 427,0
This is a safe comment number 39,0
This is a safe comment number 1743,0
This is a safe comment number 651,0
This is a toxic comment number 1734,1
This is a toxic comment number 204,1
This is a safe comment number 777,0
This is a toxic comment number 1014,1
This is a toxic comment number 162,1
Ugly pig 😡,1
This is a safe comment number 1563,0
"Hoy, malakas ka",0
This is a toxic comment number 908,1
This is a toxic comment number 1520,1
This is a toxic comment number 612,1
This is a toxic comment number 1068,1
Keep it up,0
This is a safe comment number 963,0
This is a safe comment number 271,0
This is a toxic comment number 270,1
keep it up,0
This is a safe comment number 1795,0
This is a safe comment number 661,0
This is a safe comment number 1175,0
This is a toxic comment number 1180,1
This is a safe comment number 1637,0
This is a safe comment number 1635,0
This is a safe comment number 255,0
This is a safe comment number 1969,0
malakas ka,0
Great work!,0
This is a safe comment number 315,0
stay positive,0
malakas ka,0
This is a safe comment number 901,0
This is a toxic comment number 1230,1
This is a toxic comment number 1052,1
This is a toxic comment number 1648,1
This is a safe comment number 611,0
This is a safe comment number 743,0
This is a toxic comment number 864,1
This is a toxic comment number 1484,1
This is a safe comment number 1105,0
This is a safe comment number 1445,0
This is a safe comment number 1195,0
This is a toxic comment number 642,1
pangit ka!,1
This is a safe comment number 319,0
This is a toxic comment number 710,1
This is a safe comment number 385,0
This is a safe comment number 595,0
This is a toxic comment number 1756,1
This is a safe comment number 133,0
Love wins!!!,0
This is a safe comment number 897,0
This is a safe comment number 475,0
ugok!,1
This is a safe comment number 1545,0
This is a safe comment number 1649,0
This is a toxic comment number 1492,1
"Hoy, tarantado",1
This is a safe comment number 53,0
"Hey, abnormal",1
ang galing mo!!!,0
This is a safe comment number 659,0
This is a safe comment number 943,0
This is a toxic comment number 692,1
This is a safe comment number 725,0
This is a safe comment number 1371,0
This is a safe comment number 1481,0
This is a safe comment number 1675,0
I HATE YOU,1
This is a safe comment number 605,0
This is a toxic comment number 726,1
This is a toxic comment number 904,1
You suck!,1
This is a safe comment number 845,0
abnormal 😂,1
This is a toxic comment number 928,1
This is a safe comment number 1411,0
This is a toxic comment number 94,1
This is a toxic comment number 148,1
This is a toxic comment number 946,1
This is a safe comment number 213,0
This is a safe comment number 1973,0
This is a toxic comment number 1754,1
This is a toxic comment number 10,1
Disgusting animal!,1
This is a toxic comment number 1264,1
This is a toxic comment number 328,1
This is a safe comment number 981,0
This is a safe comment number 1099,0
This is a toxic comment number 1868,1
This is a toxic comment number 1536,1
Ugly pig!!!,1
This is a safe comment number 761,0
This is a toxic comment number 1170,1
This is a toxic comment number 1386,1
This is a safe comment number 1461,0
This is a toxic comment number 452,1
Ugly pig 😂,1
ang galing mo 😊,0
This is a safe comment number 1081,0
dumbass 😡,1
This is a safe comment number 685,0
ugok!!!,1
Good job 😊,0
This is a toxic comment number 284,1
This is a safe comment number 1071,0
dumbass 😂,1
This is a toxic comment number 604,1
This is a safe comment number 411,0
This is a safe comment number 1471,0
abnormal,1
This is a safe comment number 865,0
This is a toxic comment number 1322,1
This is a toxic comment number 980,1
This is a safe comment number 789,0
This is a toxic comment number 410,1
This is a safe comment number 1121,0
This is a toxic comment number 1124,1
This is a toxic comment number 1046,1
Ugly pig!,1
This is a safe comment number 1607,0
This is a safe comment number 637,0
This is a safe comment number 117,0
This is a safe comment number 601,0
This is a toxic comment number 1944,1
I appreciate your effort 😂,0
Best wishes!,0
This is a toxic comment number 1684,1
This is a toxic comment number 1972,1
This is a toxic comment number 120,1
you're trash,1
This is a safe comment number 437,0
This is a safe comment number 1611,0
"Hey, Great work",0
This is a toxic comment number 804,1
This is a toxic comment number 210,1
This is a safe comment number 719,0
ugok 😂,1
This is a toxic comment number 1258,1
This is a toxic comment number 1254,1
This is a toxic comment number 1412,1
This is a safe comment number 895,0
This is a toxic comment number 1582,1
This is a safe comment number 237,0
This is a toxic comment number 1836,1
This is a safe comment number 1531,0
This is a toxic comment number 720,1
This is a safe comment number 829,0
This is a toxic comment number 58,1
This is a toxic comment number 702,1
This is a toxic comment number 1326,1
This is a toxic comment number 1926,1
This is a safe comment number 691,0
This is a toxic comment number 1924,1
bakla 😂,1
This is a toxic comment number 76,1
This is a safe comment number 1599,0
This is a safe comment number 649,0
This is a safe comment number 229,0
This is a safe comment number 1603,0
This is a safe comment number 525,0
This is a toxic comment number 434,1
This is a safe comment number 445,0
This is a safe comment number 1819,0
This is a toxic comment number 1678,1
i hate you,1
This is a safe comment number 521,0
This is a safe comment number 485,0
This is a safe comment number 1747,0
This is a toxic comment number 244,1
This is a toxic comment number 600,1
UNGGOY,1
This is a safe comment number 597,0
This is a toxic comment number 1058,1
Retard!!!,1
I APPRECIATE YOUR EFFORT,0
This is a safe comment number 843,0
you are stupid,1
GAGO,1
This is a safe comment number 1971,0
This is a safe comment number 1715,0
This is a toxic comment number 676,1
This is a safe comment number 1381,0
This is a toxic comment number 1218,1
This is a toxic comment number 414,1
"Hey, You are stupid",1
"Hey, That was helpful",0
This is a safe comment number 1923,0
This is a safe comment number 1405,0
This is a safe comment number 1361,0
This is a toxic comment number 1994,1
This is a safe comment number 223,0
This is a safe comment number 1979,0
This is a safe comment number 623,0
FREAK,1
This is a toxic comment number 488,1
This is a toxic comment number 1000,1
This is a safe comment number 717,0
salot ka!,1
This is a safe comment number 893,0
This is a safe comment number 471,0
This is a safe comment number 1051,0
This is a toxic comment number 846,1
This is a safe comment number 307,0
This is a toxic comment number 1338,1
This is a safe comment number 953,0
This is a toxic comment number 1896,1
This is a toxic comment number 1410,1
This is a safe comment number 177,0
This is a safe comment number 45,0
You are amazing 😂,0
This is a safe comment number 1287,0
This is a toxic comment number 798,1
This is a safe comment number 675,0
This is a toxic comment number 16,1
This is a safe comment number 995,0
This is a toxic comment number 1142,1
SIRA ULO,1
This is a safe comment number 115,0
This is a toxic comment number 1964,1
I appreciate your effort!,0
Shut up loser 😡,1
This is a toxic comment number 526,1
This is a safe comment number 1589,0
This is a safe comment number 1235,0
This is a toxic comment number 1348,1
This is a toxic comment number 376,1
This is a safe comment number 1681,0
This is a toxic comment number 1314,1
This is a safe comment number 1837,0
This is a safe comment number 331,0
This is a toxic comment number 1816,1
This is a toxic comment number 1654,1
This is a safe comment number 1347,0
This is a safe comment number 683,0
This is a toxic comment number 1028,1
This is a toxic comment number 1790,1
This is a safe comment number 1855,0
This is a toxic comment number 70,1
This is a safe comment number 1125,0
This is a toxic comment number 968,1
This is a toxic comment number 390,1
This is a toxic comment number 302,1
This is a toxic comment number 1822,1
This is a safe comment number 169,0
salamat po,0
This is a safe comment number 1777,0
This is a safe comment number 361,0
This is a toxic comment number 1828,1
ayos yan,0
THAT WAS HELPFUL,0
This is a toxic comment number 1818,1
This is a safe comment number 1479,0
This is a safe comment number 1231,0
This is a safe comment number 1711,0
SOBRANG BAIT MO,0
ayos yan,0
tanga!,1
This is a toxic comment number 770,1
This is a toxic comment number 450,1
Nobody likes you 😂,1
This is a toxic comment number 788,1
This is a safe comment number 1327,0
This is a toxic comment number 338,1
This is a safe comment number 1815,0
This is a safe comment number 225,0
salot ka 😡,1
You are kind!!!,0
Lazy fool 😂,1
This is a toxic comment number 240,1
This is a toxic comment number 180,1
This is a toxic comment number 110,1
This is a toxic comment number 194,1
This is a toxic comment number 884,1
This is a toxic comment number 796,1
This is a safe comment number 1951,0
This is a safe comment number 425,0
You are amazing!,0
This is a safe comment number 1077,0
Shut up loser!,1
This is a toxic comment number 1906,1
This is a safe comment number 939,0
walang kwenta,1
This is a toxic comment number 1640,1
This is a toxic comment number 1908,1
This is a toxic comment number 504,1
This is a safe comment number 507,0
This is a toxic comment number 1622,1
This is a safe comment number 1085,0
This is a toxic comment number 1888,1
panalo ka!!!,0
This is a safe comment number 323,0
This is a safe comment number 429,0
bakla 😡,1
tanga,1
This is a toxic comment number 1978,1
This is a toxic comment number 382,1
This is a toxic comment number 856,1
This is a toxic comment number 496,1
"Hey, You're trash",1
This is a safe comment number 1031,0
This is a safe comment number 1907,0
This is a safe comment number 629,0
This is a toxic comment number 1850,1
This is a toxic comment number 1480,1
hudas,1
Congrats on your success!,0
This is a toxic comment number 1018,1
bwisit ka!!!,1
This is a toxic comment number 1764,1
This is a safe comment number 1633,0
This is a safe comment number 839,0
This is a toxic comment number 1806,1
This is a safe comment number 1407,0
This is a toxic comment number 588,1
This is a toxic comment number 1718,1
This is a safe comment number 155,0
This is a toxic comment number 230,1
Dumb idiot 😡,1
This is a toxic comment number 1554,1
This is a toxic comment number 1334,1
This is a toxic comment number 276,1
This is a safe comment number 913,0
This is a toxic comment number 444,1
This is a toxic comment number 1802,1
This is a toxic comment number 970,1
This is a toxic comment number 1946,1
This is a toxic comment number 958,1
This is a toxic comment number 910,1
This is a toxic comment number 324,1
This is a toxic comment number 472,1
This is a safe comment number 577,0
This is a toxic comment number 170,1
This is a toxic comment number 1838,1
This is a toxic comment number 598,1
panalo ka 😂,0
This is a safe comment number 1765,0
This is a safe comment number 333,0
This is a toxic comment number 1988,1
This is a toxic comment number 416,1
This is a safe comment number 1593,0
This is a safe comment number 175,0
tarantado,1
This is a toxic comment number 392,1
This is a toxic comment number 706,1
This is a safe comment number 381,0
This is a safe comment number 1293,0
This is a toxic comment number 594,1
This is a toxic comment number 1732,1
This is a safe comment number 1,0
Nobody likes you!!!,1
walang kwenta 😂,1
This is a toxic comment number 1630,1
This is a safe comment number 1825,0
This is a toxic comment number 420,1
This is a safe comment number 799,0
This is a toxic comment number 1272,1
This is a safe comment number 1625,0
This is a toxic comment number 564,1
This is a safe comment number 443,0
This is a toxic comment number 1340,1
Kill yourself!!!,1
pagpalain ka!!!,0
This is a safe comment number 617,0
This is a toxic comment number 1570,1
This is a safe comment number 729,0
This is a toxic comment number 626,1
salamat po 😊,0
That was helpful 😂,0
swerte mo 😂,0
dumbass!,1
This is a toxic comment number 134,1
Keep it up 😂,0
This is a safe comment number 131,0
This is a safe comment number 1307,0
This is a toxic comment number 1126,1
I hate you!,1
This is a toxic comment number 790,1
This is a toxic comment number 1546,1
This is a safe comment number 575,0
This is a safe comment number 541,0
shut up loser,1
This is a safe comment number 1961,0
This is a safe comment number 879,0
This is a toxic comment number 126,1
This is a toxic comment number 46,1
This is a safe comment number 781,0
This is a safe comment number 231,0
This is a safe comment number 679,0
This is a safe comment number 1657,0
This is a toxic comment number 1832,1
This is a toxic comment number 586,1
This is a toxic comment number 1858,1
This is a safe comment number 515,0
This is a safe comment number 35,0
"Hoy, ayos yan",0
This is a toxic comment number 374,1
This is a toxic comment number 1162,1
idol kita!!!,0
This is a toxic comment number 56,1
This is a toxic comment number 1074,1
This is a safe comment number 1811,0
This is a toxic comment number 1292,1
This is a toxic comment number 300,1
This is a toxic comment number 226,1
Have a nice day 😊,0
This is a toxic comment number 408,1
"Hey, Go die",1
This is a toxic comment number 178,1
This is a toxic comment number 190,1
This is a safe comment number 1719,0
This is a safe comment number 1843,0
This is a safe comment number 1317,0
This is a safe comment number 1685,0
This is a safe comment number 1957,0
This is a safe comment number 397,0
This is a safe comment number 527,0
This is a safe comment number 1465,0
This is a toxic comment number 648,1
